date,СберБанк,Приорбанк,МАПИД,Трест-35,Минскпромстрой,Брестгазоаппарат,Керамин,БЭРН,Белинвестбанк,БрестМК,МозырьНПЗ,СРСУ-3,СлуцкСахарКомб
2024-01-31,0.58,5.29,4.39,11.5,10.49,1652.31,50.0,21.77,0.01,98.36,220.0,3.5,199.29
2024-02-29,0.63,5.16,4.03,11.34,9.83,1627.5,50.01,17.01,0.01,96.5,193.9,3.6,199.52
2024-03-31,0.63,5.16,4.03,11.34,9.83,1627.5,50.01,17.01,0.01,96.5,193.9,3.6,199.52
2024-04-30,0.63,4.67,4.07,11.26,9.01,1353.0,44.9,17.13,0.01,79.69,164.68,3.6,295.0
2024-05-31,0.76,4.17,4.86,11.3,9.0,1284.2,40.72,15.0,0.01,92.02,199.8,3.6,296.25
2024-06-30,0.78,4.23,5.46,10.02,9.0,1277.67,42.68,16.95,0.01,94.8,194.85,5.52,349.0
2024-07-31,0.82,4.19,5.6,9.42,9.92,1282.68,46.08,16.95,0.01,95.04,199.7,7.04,356.0
2024-08-31,0.75,4.59,5.74,10.0,9.0,1230.26,44.68,16.95,0.01,95.79,199.32,6.84,356.0
2024-09-30,0.72,4.2,5.5,9.62,9.0,1268.38,42.78,17.44,0.01,78.58,182.51,6.54,301.02
2024-10-31,0.75,4.83,5.17,9.8,9.0,1283.4,36.35,16.08,0.01,72.54,182.51,6.69,255.0
2024-11-30,0.88,5.2,4.82,10.83,9.5,1243.18,39.39,17.24,0.01,66.47,190.0,7.35,246.57
2024-12-31,0.9,4.81,5.29,10.9,9.0,1230.53,39.54,15.02,0.01,58.74,188.25,8.0,267.27
2025-01-31,0.94,5.02,5.58,11.06,9.0,1360.01,41.61,15.02,0.01,65.57,174.18,8.0,264.55
2025-02-28,0.96,4.44,6.31,12.44,9.89,1296.82,52.37,15.01,0.01,62.79,174.18,9.73,269.56
2025-03-31,0.88,4.47,6.3,13.26,9.03,1236.19,52.72,19.09,0.05,65.42,174.18,8.95,272.79
2025-04-30,0.87,4.41,4.99,15.66,10.13,1150.56,49.24,20.87,0.05,63.86,174.18,7.03,270.65
2025-05-31,0.85,4.8,5.78,19.3,11.78,1030.96,48.6,15.12,0.06,60.07,174.18,6.76,264.53
2025-06-30,0.84,5.0,5.19,20.01,11.78,1079.21,42.23,23.92,0.06,68.26,174.18,7.6,260.57
2025-07-31,0.77,4.82,5.49,22.33,11.78,1039.09,42.42,28.9,0.07,62.14,174.18,7.55,255.88
2025-08-31,0.77,4.89,5.88,25.01,11.78,998.52,46.89,35.59,0.06,62.01,174.18,6.36,255.88
2025-09-30,0.72,5.1,5.64,24.04,11.78,986.86,41.78,35.02,0.07,63.06,174.18,8.0,254.35
2025-10-31,0.69,5.07,5.81,24.6,11.78,972.5,40.96,37.2,0.07,65.1,174.18,8.2,254.31
2025-11-30,0.69,5.52,5.79,23.95,11.78,1065.62,37.03,37.04,0.07,56.29,174.18,8.19,265.91
2025-12-31,0.73,5.26,5.35,24.04,11.78,1056.94,42.53,37.77,0.06,64.27,174.18,7.0,265.91
2026-01-31,0.85,5.37,5.61,28.71,11.78,1089.01,43.82,38.71,0.06,70.75,174.18,7.0,265.91
